"","title","author","subject","abstract","date"
"82","temporal analysis of drifting hashtags in textual data streams: a graph-based application","cristiano m. garcia, alceu de souza britto jr, jean paul barddal","social and information networks","social media has played an important role since its emergence. people use the internet to express opinions about anything, making social media platforms a social sensor. initially supported by twitter, the hashtags are now in use on several social media platforms. hashtags are helpful to tag, track, and group posts on similar topics. in this paper, we analyze hashtag drifts over time using concepts from graph analysis and textual data streams using the girvan-newman method to uncover hashtag communities in annual snapshots. more specifically, we analyzed the #mybodymychoice hashtag between 2018 and 2022. in addition, we offer insights about some hashtags found in the study. furthermore, our approach can be useful for monitoring changes over time in opinions and sentiment patterns about an entity on social media. even though the hashtag #mybodymychoice was initially coupled with women's rights, abortion, and bodily autonomy, we observe that it suffered drifts during the studied period across topics such as drug legalization, vaccination, political protests, war, and civil rights. the year 2021 was the most significant drifting year, in which the communities detected suggest that #mybodymychoice significantly drifted to vaccination and covid-19-related topics.",2024-02-08
"83","correlational lagrangian schrödinger bridge: learning dynamics with population-level regularization","yuning you, ruida zhou, yang shen","machine learning","accurate modeling of system dynamics holds intriguing potential in broad scientific fields including cytodynamics and fluid mechanics. this task often presents significant challenges when (i) observations are limited to cross-sectional samples (where individual trajectories are inaccessible for learning), and moreover, (ii) the behaviors of individual particles are heterogeneous (especially in biological systems due to biodiversity). to address them, we introduce a novel framework dubbed correlational lagrangian schrödinger bridge (clsb), aiming to seek for the evolution ""bridging"" among cross-sectional observations, while regularized for the minimal population ""cost"". in contrast to prior methods relying on \textit{individual}-level regularizers for all particles \textit{homogeneously} (e.g. restraining individual motions), clsb operates at the population level admitting the heterogeneity nature, resulting in a more generalizable modeling in practice. to this end, our contributions include (1) a new class of population regularizers capturing the temporal variations in multivariate relations, with the tractable formulation derived, (2) three domain-informed instantiations based on genetic co-expression stability, and (3) an integration of population regularizers into data-driven generative models as constrained optimization, and a numerical solution, with further extension to conditional generative models. empirically, we demonstrate the superiority of clsb in single-cell sequencing data analyses such as simulating cell development over time and predicting cellular responses to drugs of varied doses.",2024-02-04
"84","navigating the maize: cyclic and conditional computational graphs for molecular simulation","thomas löhr, michael dodds, lili cao, mikhail kabeshov, michele assante, jon-paul janet, marco klähn, ola engkvist","distributed, parallel, and cluster computing","many computational chemistry and molecular simulation workflows can be expressed as graphs. this abstraction is useful to modularize and potentially reuse existing components, as well as provide parallelization and ease reproducibility. existing tools represent the computation as a directed acyclic graph (dag), thus allowing efficient execution by parallelization of concurrent branches. these systems can, however, generally not express cyclic and conditional workflows. we therefore developed maize, a workflow manager for cyclic and conditional graphs based on the principles of flow-based programming. by running each node of the graph concurrently in separate processes and allowing communication at any time through dedicated inter-node channels, arbitrary graph structures can be executed. we demonstrate the effectiveness of the tool on a dynamic active learning task in computational drug design, involving the use of a small molecule generative model and an associated scoring system.",2024-01-22
"85","quantum algorithm for bioinformatics to compute the similarity between proteins","anthony chagneau, yousra massaoudi, imene derbali, linda yahiaoui","quantum physics","drug discovery has become a main challenge in our society, following the covid-19 pandemic. even pharmaceutical companies are already using computing to accelerate drug discovery. they are increasingly interested in quantum computing with a view to improve the speed of research and development process for new drugs. here, the authors propose a quantum method to generate random sequences based on the occurrence in a protein database and another quantum process to compute a similarity rate between proteins. the aim is to find proteins that are closest to the generated protein and to have an ordering of these proteins. first, the authors will present the construction of a quantum generator of proteins who define a protein, called the test protein. the aim is to have a randomly defined amino-acids sequence according to a proteins database given. the authors will then describe two different methods to compute the similarity's rate between the test protein and each protein of the database and present results obtained for the test protein and for a case study, the elafin.",2024-02-15
"86","a web-based tool for automatic data collection, curation, and visualization of complex healthcare survey studies including social network analysis","josé alberto benítez-andrades, josé emilio labra, enedina quiroga, vicente martín, isaías garcía, pilar marqués-sánchez, carmen benavides","artificial intelligence","there is a great concern nowadays regarding alcohol consumption and drug abuse, especially in young people. analyzing the social environment where these adolescents are immersed, as well as a series of measures determining the alcohol abuse risk or personal situation and perception using a number of questionnaires like audit, fas, kidscreen, and others, it is possible to gain insight into the current situation of a given individual regarding his/her consumption behavior. but this analysis, in order to be achieved, requires the use of tools that can ease the process of questionnaire creation, data gathering, curation and representation, and later analysis and visualization to the user. this research presents the design and construction of a web-based platform able to facilitate each of the mentioned processes by integrating the different phases into an intuitive system with a graphical user interface that hides the complexity underlying each of the questionnaires and techniques used and presenting the results in a flexible and visual way, avoiding any manual handling of data during the process. advantages of this approach are shown and compared to the previous situation where some of the tasks were accomplished by time consuming and error prone manipulations of data.",2024-02-14
"87","emerging opportunities of using large language models for translation between drug molecules and indications","david oniani, jordan hilsman, chengxi zang, junmei wang, lianjin cai, jan zawala, yanshan wang","artificial intelligence","a drug molecule is a substance that changes the organism's mental or physical state. every approved drug has an indication, which refers to the therapeutic use of that drug for treating a particular medical condition. while the large language model (llm), a generative artificial intelligence (ai) technique, has recently demonstrated effectiveness in translating between molecules and their textual descriptions, there remains a gap in research regarding their application in facilitating the translation between drug molecules and indications, or vice versa, which could greatly benefit the drug discovery process. the capability of generating a drug from a given indication would allow for the discovery of drugs targeting specific diseases or targets and ultimately provide patients with better treatments. in this paper, we first propose a new task, which is the translation between drug molecules and corresponding indications, and then test existing llms on this new task. specifically, we consider nine variations of the t5 llm and evaluate them on two public datasets obtained from chembl and drugbank. our experiments show the early results of using llms for this task and provide a perspective on the state-of-the-art. we also emphasize the current limitations and discuss future work that has the potential to improve the performance on this task. the creation of molecules from indications, or vice versa, will allow for more efficient targeting of diseases and significantly reduce the cost of drug discovery, with the potential to revolutionize the field of drug discovery in the era of generative ai.",2024-02-14
"88","deep manifold transformation for protein representation learning","bozhen hu, zelin zang, cheng tan, stan z. li","biomolecules","protein representation learning is critical in various tasks in biology, such as drug design and protein structure or function prediction, which has primarily benefited from protein language models and graph neural networks. these models can capture intrinsic patterns from protein sequences and structures through masking and task-related losses. however, the learned protein representations are usually not well optimized, leading to performance degradation due to limited data, difficulty adapting to new tasks, etc. to address this, we propose a new \underline{d}eep \underline{m}anifold \underline{t}ransformation approach for universal \underline{p}rotein \underline{r}epresentation \underline{l}earning (dmtprl). it employs manifold learning strategies to improve the quality and adaptability of the learned embeddings. specifically, we apply a novel manifold learning loss during training based on the graph inter-node similarity. our proposed dmtprl method outperforms state-of-the-art baselines on diverse downstream tasks across popular datasets. this validates our approach for learning universal and robust protein representations. we promise to release the code after acceptance.",2024-01-12
"89","llasmol: advancing large language models for chemistry with a large-scale, comprehensive, high-quality instruction tuning dataset","botao yu, frazier n. baker, ziqi chen, xia ning, huan sun","artificial intelligence","chemistry plays a crucial role in many domains, such as drug discovery and material science. while large language models (llms) such as gpt-4 exhibit remarkable capabilities on natural language processing tasks, existing work shows their performance on chemistry tasks is discouragingly low. in this paper, however, we demonstrate that our developed llms can achieve very strong results on a comprehensive set of chemistry tasks, outperforming the most advanced gpt-4 across all the tasks by a substantial margin and approaching the sota task-specific models. the key to our success is a large-scale, comprehensive, high-quality dataset for instruction tuning named smolinstruct. it contains 14 meticulously selected chemistry tasks and over three million high-quality samples, laying a solid foundation for training and evaluating llms for chemistry. based on smolinstruct, we fine-tune a set of open-source llms, among which, we find that mistral serves as the best base model for chemistry tasks. we further conduct analysis on the impact of trainable parameters, providing insights for future research.",2024-02-14
"90","learning interpretable policies in hindsight-observable pomdps through partially supervised reinforcement learning","michael lanier, ying xu, nathan jacobs, chongjie zhang, yevgeniy vorobeychik","machine learning","deep reinforcement learning has demonstrated remarkable achievements across diverse domains such as video games, robotic control, autonomous driving, and drug discovery. common methodologies in partially-observable domains largely lean on end-to-end learning from high-dimensional observations, such as images, without explicitly reasoning about true state. we suggest an alternative direction, introducing the partially supervised reinforcement learning (psrl) framework. at the heart of psrl is the fusion of both supervised and unsupervised learning. the approach leverages a state estimator to distill supervised semantic state information from high-dimensional observations which are often fully observable at training time. this yields more interpretable policies that compose state predictions with control. in parallel, it captures an unsupervised latent representation. these two-the semantic state and the latent state-are then fused and utilized as inputs to a policy network. this juxtaposition offers practitioners a flexible and dynamic spectrum: from emphasizing supervised state information to integrating richer, latent insights. extensive experimental results indicate that by merging these dual representations, psrl offers a potent balance, enhancing model interpretability while preserving, and often significantly outperforming, the performance benchmarks set by traditional methods in terms of reward and convergence speed.",2024-02-14
"91","nutrition facts, drug facts, and model facts: putting ai ethics into practice in gun violence research","jessica zhu, dr. michel cukier, dr. joseph richardson jr","artificial intelligence","objective: firearm injury research necessitates using data from often-exploited vulnerable populations of black and brown americans. in order to minimize distrust, this study provides a framework for establishing ai trust and transparency with the general population. methods: we propose a model facts template that is easily extendable and decomposes accuracy and demographics into standardized and minimally complex values. this framework allows general users to assess the validity and biases of a model without diving into technical model documentation. examples: we apply the model facts template on two previously published models, a violence risk identification model and a suicide risk prediction model. we demonstrate the ease of accessing the appropriate information when the data is structured appropriately. discussion: the model facts template is limited in its current form to human based data and biases. like nutrition facts, it also will require some educational resources for users to grasp its full utility. human computer interaction experiments should be conducted to ensure that the interaction between user interface and model interface is as desired. conclusion: the model facts label is the first framework dedicated to establishing trust with end users and general population consumers. implementation of model facts into firearm injury research will provide public health practitioners and those impacted by firearm injury greater faith in the tools the research provides.",2024-02-14
"92","improving molecule generation and drug discovery with a knowledge-enhanced generative model","aditya malusare, vaneet aggarwal","machine learning","recent advancements in generative models have established state-of-the-art benchmarks in generating molecules and novel drug candidates. despite these successes, a significant gap persists between generative models and the utilization of extensive biomedical knowledge, often systematized within knowledge graphs, whose potential to inform and enhance generative processes has not been realized. in this paper, we present a novel approach that bridges this divide by developing a framework for knowledge-enhanced generative models called k-dream. we develop a scalable methodology to extend the functionality of knowledge graphs while preserving semantic integrity and incorporate this contextual information into a generative framework to guide a diffusion-based model. the integration of knowledge graph embeddings with our generative model furnishes a robust mechanism for producing novel drug candidates possessing specific characteristics while ensuring validity and synthesizability. k-dream outperforms state-of-the-art generative models on both unconditional and targeted generation tasks.",2024-02-13
"93","a survey of generative ai for de novo drug design: new frontiers in molecule and protein generation","xiangru tang, howard dai, elizabeth knight, fang wu, yunyang li, tianxiao li, mark gerstein","biomolecules","artificial intelligence (ai)-driven methods can vastly improve the historically costly drug design process, with various generative models already in widespread use. generative models for de novo drug design, in particular, focus on the creation of novel biological compounds entirely from scratch, representing a promising future direction. rapid development in the field, combined with the inherent complexity of the drug design process, creates a difficult landscape for new researchers to enter. in this survey, we organize de novo drug design into two overarching themes: small molecule and protein generation. within each theme, we identify a variety of subtasks and applications, highlighting important datasets, benchmarks, and model architectures and comparing the performance of top models. we take a broad approach to ai-driven drug design, allowing for both micro-level comparisons of various methods within each subtask and macro-level observations across different fields. we discuss parallel challenges and approaches between the two applications and highlight future directions for ai-driven de novo drug design as a whole. an organized repository of all covered sources is available at this https url.",2024-02-13
"94","order picking efficiency: a scattered storage and clustered allocation strategy in automated drug dispensing systems","mengge yuan, ning zhao, kan wu, lulu cheng","applications","in the smart hospital, optimizing prescription order fulfilment processes in outpatient pharmacies is crucial. a promising device, automated drug dispensing systems (addss), has emerged to streamline these processes. these systems involve human order pickers who are assisted by addss. the adds's robotic arm transports bins from storage locations to the input/output (i/o) points, while the pharmacist sorts the requested drugs from the bins at the i/o points. this paper focuses on coordinating the adds and the pharmacists to optimize the order-picking strategy. another critical aspect of order-picking systems is the storage location assignment problem (slap), which determines the allocation of drugs to storage locations. in this study, we consider the adds as a smart warehouse and propose a two-stage scattered storage and clustered allocation (ssca) strategy to optimize the slap for addss. the first stage primarily adopts a scattered storage approach, and we develop a mathematical programming model to group drugs accordingly. in the second stage, we introduce a sequential alternating (sa) heuristic algorithm that takes into account the drug demand frequency and the correlation between drugs to cluster and locate them effectively. to evaluate the proposed ssca strategy, we develop a double objective integer programming model for the order-picking problem in addss to minimize the number of machines visited in prescription orders while maintaining the shortest average picking time of orders. the numerical results demonstrate that the proposed strategy can optimize the slap in addss and improve significantly the order-picking efficiency of addss in a human-robot cooperation environment.",2023-12-18
"95","a two-step approach for analyzing time to event data under non-proportional hazards","jonas brugger, tim friede, florian klinglmüller, martin posch, robin ristl, franz könig","methodology","the log-rank test and the cox proportional hazards model are commonly used to compare time-to-event data in clinical trials, as they are most powerful under proportional hazards. but there is a loss of power if this assumption is violated, which is the case for some new oncology drugs like immunotherapies. we consider a two-stage test procedure, in which the weighting of the log-rank test statistic depends on a pre-test of the proportional hazards assumption. i.e., depending on the pre-test either the log-rank or an alternative test is used to compare the survival probabilities. we show that if naively implemented this can lead to a substantial inflation of the type-i error rate. to address this, we embed the two-stage test in a permutation test framework to keep the nominal level alpha. we compare the operating characteristics of the two-stage test with the log-rank test and other tests by clinical trial simulations.",2024-02-13
"96","an executable specification of oncology dose-escalation protocols with prolog","david c. norris, markus triska","programming languages","we present, as a pure prolog program, the first executable specification of the 3 + 3 dose-escalation protocol commonly used in early-phase oncology drug development. in this program, the imperative operations of the protocol emerge as consequences of clinically meaningful anticipatory-regret scenarios that are declared as clp(z) constraints. this 'regret-constrained' (rc) specification yields a robust formulation which can be used to prove clinically meaningful safety and liveness properties of the protocol before incorporating it into a trial, and then as an on-line decision support system while the trial is underway. our rc specification also readily accommodates certain pragmatic modifications to trial enrollment which severely strain traditionally imperative formulations. the features of modern prolog systems let us describe the 3 + 3 protocol with a short and general program that has desirable algebraic properties and can therefore be used, tested and reasoned about in several different ways.",2024-02-13
"97","quantum computing-enhanced algorithm unveils novel inhibitors for kras","mohammad ghazi vakili, christoph gorgulla, akshatkumar nigam, dmitry bezrukov, daniel varoli, alex aliper, daniil polykovsky, krishna m. padmanabha das, jamie snider, anna lyakisheva, ardalan hosseini mansob, zhong yao, lela bitar, eugene radchenko, xiao ding, jinxin liu, fanye meng, feng ren, yudong cao, igor stagljar, alán aspuru-guzik, alex zhavoronkov","quantum physics","the discovery of small molecules with therapeutic potential is a long-standing challenge in chemistry and biology. researchers have increasingly leveraged novel computational techniques to streamline the drug development process to increase hit rates and reduce the costs associated with bringing a drug to market. to this end, we introduce a quantum-classical generative model that seamlessly integrates the computational power of quantum algorithms trained on a 16-qubit ibm quantum computer with the established reliability of classical methods for designing small molecules. our hybrid generative model was applied to designing new kras inhibitors, a crucial target in cancer therapy. we synthesized 15 promising molecules during our investigation and subjected them to experimental testing to assess their ability to engage with the target. notably, among these candidates, two molecules, ism061-018-2 and ism061-22, each featuring unique scaffolds, stood out by demonstrating effective engagement with kras. ism061-018-2 was identified as a broad-spectrum kras inhibitor, exhibiting a binding affinity to kras-g12d at $1.4 \mu m$. concurrently, ism061-22 exhibited specific mutant selectivity, displaying heightened activity against kras g12r and q61h mutants. to our knowledge, this work shows for the first time the use of a quantum-generative model to yield experimentally confirmed biological hits, showcasing the practical potential of quantum-assisted drug discovery to produce viable therapeutics. moreover, our findings reveal that the efficacy of distribution learning correlates with the number of qubits utilized, underlining the scalability potential of quantum computing resources. overall, we anticipate our results to be a stepping stone towards developing more advanced quantum generative models in drug discovery.",2024-02-13
"98","psc-cpi: multi-scale protein sequence-structure contrasting for efficient and generalizable compound-protein interaction prediction","lirong wu, yufei huang, cheng tan, zhangyang gao, bozhen hu, haitao lin, zicheng liu, stan z. li","biomolecules","compound-protein interaction (cpi) prediction aims to predict the pattern and strength of compound-protein interactions for rational drug discovery. existing deep learning-based methods utilize only the single modality of protein sequences or structures and lack the co-modeling of the joint distribution of the two modalities, which may lead to significant performance drops in complex real-world scenarios due to various factors, e.g., modality missing and domain shifting. more importantly, these methods only model protein sequences and structures at a single fixed scale, neglecting more fine-grained multi-scale information, such as those embedded in key protein fragments. in this paper, we propose a novel multi-scale protein sequence-structure contrasting framework for cpi prediction (psc-cpi), which captures the dependencies between protein sequences and structures through both intra-modality and cross-modality contrasting. we further apply length-variable protein augmentation to allow contrasting to be performed at different scales, from the amino acid level to the sequence level. finally, in order to more fairly evaluate the model generalizability, we split the test data into four settings based on whether compounds and proteins have been observed during the training stage. extensive experiments have shown that psc-cpi generalizes well in all four settings, particularly in the more challenging ``unseen-both"" setting, where neither compounds nor proteins have been observed during training. furthermore, even when encountering a situation of modality missing, i.e., inference with only single-modality protein data, psc-cpi still exhibits comparable or even better performance than previous approaches.",2024-02-13
"99","utilizing low-dimensional molecular embeddings for rapid chemical similarity search","kathryn e. kirchoff, james wellnitz, joshua e. hochuli, travis maxfield, konstantin i. popov, shawn gomez, alexander tropsha","information retrieval","nearest neighbor-based similarity searching is a common task in chemistry, with notable use cases in drug discovery. yet, some of the most commonly used approaches for this task still leverage a brute-force approach. in practice this can be computationally costly and overly time-consuming, due in part to the sheer size of modern chemical databases. previous computational advancements for this task have generally relied on improvements to hardware or dataset-specific tricks that lack generalizability. approaches that leverage lower-complexity searching algorithms remain relatively underexplored. however, many of these algorithms are approximate solutions and/or struggle with typical high-dimensional chemical embeddings. here we evaluate whether a combination of low-dimensional chemical embeddings and a k-d tree data structure can achieve fast nearest neighbor queries while maintaining performance on standard chemical similarity search benchmarks. we examine different dimensionality reductions of standard chemical embeddings as well as a learned, structurally-aware embedding -- smallsa -- for this task. with this framework, searches on over one billion chemicals execute in less than a second on a single cpu core, five orders of magnitude faster than the brute-force approach. we also demonstrate that smallsa achieves competitive performance on chemical similarity benchmarks.",2024-02-12
"100","combination therapy for chronic hepatitis b using capsid recycling inhibitor","rupchand sutradhar, d c dalal","cell behavior","in this paper, we investigate the dynamics of hepatitis b virus infection taking into account the implementation of combination therapy through mathematical modeling. this model is established considering the interplay between uninfected cells, infected cells, capsids, and viruses. three drugs are considered for specific roles (i) pegylated interferon (peg ifn) for immune modulation, (ii) lamivudine (lmv) as a reverse-transcriptase inhibitor, and (iii) entecavir (etv) to block capsid recycling. using these drugs, three combination therapies are introduced, specifically ct peg ifn plus lmv, ct peg ifn plus etv, and ct peg ifn plus lmv plus etv. as a result, when lmv is used in combination therapy with peg ifn and etv, the impacts of etv become insignificant. in conclusion, if the appropriate drug effectively inhibits reverse transcription, there is no need for an additional inhibitor to block capsid recycling.",2024-02-12
"101","hypolipidemic effect of brown seaweed (sargassum crassifolium) extract in vivo (study of histopathology, mrna expression, and immunohistochemistry (ihc) with vcam-1, icam-1, and mcp-1 parameters)","sarah zaidan, syamsudin abdillah, nur arfian, wawaimuli arozal","biomolecules","the purpose of this study was to obtain natural drugs from brown seaweed (sargassum crassifolium) as antiatherosclerosis candidates through the study of hypolipidemic mechanisms of action. modeling of dyslipidemia rats was carried out by feeding high-fat (hff) and doses of crude fucoidan 100. 200. 400mg / kgbb. in both treatments measured blood lipid profile levels taken from the orbital sinuses. he's histopathology. mrna expression. immunohistochemistry (ihc) with parameters vcam-1. icam-1. and mcp-1 were performed on adipose tissue. as well as liver. total cholesterol values 51.07-225.2. triglycerides 30.43-115.73. hdl 13.1-24.86 mg/dl and ldl 20.22-189.68 mg/dl. in the treatment of crude fucoidan obtained the result of p value < {\alpha} (0.05. histopathological features of adipose tissue after administration of hff for 60 days resulted in an increase in adipose cell size. and the liver experienced structural damage and inflammation. but after 21 days of treatment the morphological picture of adipose tissue was similar to normal morphology and the liver also decreased in severity and inflammation. the results of histochemical staining after treatment showed a positive staining part on mcp-1. the result of p value < {\alpha} (0.05) of mrna expression for administration of 3 treatment doses. a dyslipidemic mouse model with hff administration for 60 days succeeded in becoming a dyslipidemic rat. and crude fucoidan had hypolipidemic activity. doses of 100. 200. and 400 mg/kgbb crude fucoidan showed improvement in adipose and liver morphological features of severity and inflammation of dyslipidemic rats and decreased mrna expression.",2024-02-12
"102","the impact of domain knowledge and multi-modality on intelligent molecular property prediction: a systematic survey","taojie kuang, pengfei liu, zhixiang ren","machine learning","the precise prediction of molecular properties is essential for advancements in drug development, particularly in virtual screening and compound optimization. the recent introduction of numerous deep learning-based methods has shown remarkable potential in enhancing molecular property prediction (mpp), especially improving accuracy and insights into molecular structures. yet, two critical questions arise: does the integration of domain knowledge augment the accuracy of molecular property prediction and does employing multi-modal data fusion yield more precise results than unique data source methods? to explore these matters, we comprehensively review and quantitatively analyze recent deep learning methods based on various benchmarks. we discover that integrating molecular information will improve both mpp regression and classification tasks by upto 3.98% and 1.72%, respectively. we also discover that the utilizing 3-dimensional information with 1-dimensional and 2-dimensional information simultaneously can substantially enhance mpp upto 4.2%. the two consolidated insights offer crucial guidance for future advancements in drug discovery.",2024-02-11
"103","binding selectivity analysis from alchemical receptor hopping and ligand swapping free energy calculations","solmaz azimi, emilio gallicchio","chemical physics","we present receptor-hopping and ligand-swapping free energy estimation protocols based on the alchemical transfer method (atm) to model the binding selectivity of a set of ligands to two arbitrary receptors. the receptor-hopping protocol, where a ligand is alchemically transferred from one receptor to another in one simulation, directly yields the ligand's binding selectivity free energy for the two receptors, which is the difference between the two binding free energies. in the ligand-swapping protocol, the first ligand of a pair is transferred from one receptor to another while the second ligand is simultaneously transferred in the opposite direction. the ligand-swapping free energy yields the differences in binding selectivity free energies of a set of ligands, which, when combined using a generalized diffnet algorithm, yield the binding selectivity free energies of the ligands. we test these novel algorithms on host-guest systems and show that they yield results values in good agreement with experimental data and consistent with differences of absolute and relative binding free energies obtained by conventional methods. the novel algorithms presented in this work are a first step in developing streamlined and computationally efficient protocols for modeling ligand selectivity across protein receptors with potentially low sequence identity in structure-based drug discovery.",2024-02-10
"104","towards molecular docking with neutral atoms","mathieu garrigues, victor onofre, noé bosc-haddad","quantum physics","new computational strategies, such as molecular docking, are emerging to speed up the drug discovery process. this method predicts the activity of molecules at the binding site of proteins, helping to select the ones that exhibit desirable behavior and rejecting the rest. however, for large chemical libraries, it is essential to search and score configurations using fewer computational resources while maintaining high precision. in this work, we map the molecular docking problem to a graph problem, a maximum-weight independent set problem on a unit-disk graph in a physical neutral atom quantum processor. here, each vertex represents an atom trapped by optical tweezers. the variational quantum adiabatic algorithm (vqaa) approach is used to solve the generic graph problem with two optimization methods, scipy and hyperopt. additionally, a machine learning method is explored using the adiabatic algorithm. results for multiple graphs are presented, and a small instance of the molecular docking problem is solved, demonstrating the potential for near-term quantum applications.",2024-02-09
"105","copper phosphate micro-flowers coated with indocyanine green and iron oxide nanoparticles for in vivo localization optoacoustic tomography and magnetic actuation","daniil nozdriukhin, shuxin lyu, jerome bonvin, michael reiss, daniel razansky, xose luis dean-ben","optics","efficient drug delivery is a major challenge in modern medicine and pharmaceutical research. micrometer-scale robots have recently been proposed as a promising venue to amplify precision of drug administration. remotely controlled microrobots sufficiently small to navigate through microvascular networks can reach any part of the human body, yet real-time tracking is crucial for providing precise guidance and verifying successful arrival at the target. in vivo deep-tissue monitoring of individual microrobots is currently hampered by the lack of sensitivity and/or spatio-temporal resolution of commonly used clinical imaging modalities. we synthesized biocompatible and biodegradable copper phosphate micro-flowers loaded with indocyanine green and iron oxide nanoparticles to enable in vivo individual detection with localization optoacoustic tomography. we demonstrate magnetic actuation and optoacoustic tracking of these decorated micro-flowers at a per-particle level. functional super-resolution imaging achieved via tracking intravenously injected particles provides a means of identifying microvascular targets and quantifying blood flow, while the versatile carrying capacity can be further exploited for transporting multiple types of drug formulations.",2024-02-09
"106","reducing model complexity by means of the optimal scaling: population balance model for latex particles morphology formation","simone rusconi, christina schenk, arghir zarnescu, elena akhmatskaya","soft condensed matter","rational computer-aided design of multiphase polymer materials is vital for rapid progress in many important applications, such as: diagnostic tests, drug delivery, coatings, additives for constructing materials, cosmetics, etc. several property predictive models, including the prospective population balance model for latex particles morphology formation (lpmf pbm), have already been developed for such materials. however, they lack computational efficiency, and the accurate prediction of materials' properties still remains a great challenge. to enhance performance of the lpmf pbm, we explore the feasibility of reducing its complexity through disregard of the aggregation terms of the model. the introduced nondimensionalization approach, which we call optimal scaling with constraints, suggests a quantitative criterion for locating regions of slow and fast aggregation and helps to derive a family of dimensionless lpmf pbm of reduced complexity. the mathematical analysis of this new family is also provided. when compared with the original lpmf pbm, the resulting models demonstrate several orders of magnitude better computational efficiency.",2024-02-09
"107","multimodal clinical trial outcome prediction with large language models","wenhao zheng, dongsheng peng, hongxia xu, hongtu zhu, tianfan fu, huaxiu yao","machine learning","the clinical trial is a pivotal and costly process, often spanning multiple years and requiring substantial financial resources. therefore, the development of clinical trial outcome prediction models aims to exclude drugs likely to fail and holds the potential for significant cost savings. recent data-driven attempts leverage deep learning methods to integrate multimodal data for predicting clinical trial outcomes. however, these approaches rely on manually designed modal-specific encoders, which limits both the extensibility to adapt new modalities and the ability to discern similar information patterns across different modalities. to address these issues, we propose a multimodal mixture-of-experts (lifted) approach for clinical trial outcome prediction. specifically, lifted unifies different modality data by transforming them into natural language descriptions. then, lifted constructs unified noise-resilient encoders to extract information from modal-specific language descriptions. subsequently, a sparse mixture-of-experts framework is employed to further refine the representations, enabling lifted to identify similar information patterns across different modalities and extract more consistent representations from those patterns using the same expert model. finally, a mixture-of-experts module is further employed to dynamically integrate different modality representations for prediction, which gives lifted the ability to automatically weigh different modalities and pay more attention to critical information. the experiments demonstrate that lifted significantly enhances performance in predicting clinical trial outcomes across all three phases compared to the best baseline, showcasing the effectiveness of our proposed key components.",2024-02-09
"108","insomnia identification via electroencephalography","olviya udeshika, dilshan lakshitha, nilantha premakumara, surangani bandara","computer vision and pattern recognition","insomnia is a serious sleep disorder caused by abnormal or excessive neural activity in the brain. an estimated 50 million people worldwide are thought to be affected by this condition, which is the second most severe neurological disease after stroke. in order to ensure a quick recovery, an early and accurate diagnosis of insomnia enables more effective drug and treatment administration. this study proposes a method that uses deep learning to automatically identify patients with insomnia. a set of optimal features are extracted from spectral and temporal domains, including the relative power of {\sigma}, \b{eta} and {\gamma} bands, the total power, the absolute slow wave power, the power ratios of {\theta}, {\alpha}, {\gamma}, \b{eta}, {\theta}/{\alpha}, {\theta}/\b{eta}, {\alpha}/{\gamma} and {\alpha}/\b{eta}, mean, zero crossing rate, mobility, complexity, sleep efficiency and total sleep time, to accurately quantify the differences between insomnia patients and healthy subjects and develops a 1d cnn model for the classification process. with the experiments use fp2 and c4 eeg channels with 50 insomnia patients and 50 healthy subjects, the proposed model arrives 99.34% accuracy without sleep stage annotation. using the features only from a single channel, the study proposes a smart solution for insomnia patients which allows machine learning to be to simplify current sleep monitoring hardware and improve in-home ambulatory monitoring.",2024-02-09
"109","balancing a 3d inverted pendulum using remote magnetic manipulation","jasan zughaibi, bradley j. nelson, michael muehlebach","systems and control","remote magnetic manipulation offers wireless control over magnetic objects, which has important medical applications, such as targeted drug delivery and minimally invasive surgeries. magnetic manipulation systems are categorized into systems using permanent magnets and systems based on electromagnets. electro-magnetic navigation systems (emnss) are believed to have a superior actuation bandwidth, facilitating trajectory tracking and disturbance rejection. this greatly expands the range of potential medical applications and includes even dynamic environments as encountered in cardiovascular interventions. in order to highlight the dynamic capabilities of emnss, we successfully stabilize a (non-magnetic) inverted pendulum on the tip of a magnetically driven arm. our method employs a model-based design approach, where we capture the dynamics that describe the interaction of the pendulum system and the magnetic field through lagrangian mechanics. using system identification we estimate the system parameters, the actuation bandwidth, and characterize the system's nonlinearity. we design a state-feedback controller to stabilize the inherently unstable dynamics, and compensate for errors arising from the calibration of the magnetic field and the angle measurement system. additionally, we integrate an iterative learning control scheme that allows us to accurately track non-equilibrium trajectories while concurrently maintaining stability of the inverted pendulum. to our knowledge, this is the first effort to stabilize a 3d inverted pendulum through remote magnetic manipulation.",2024-02-08
